RA,Dec,Distance,Name,Max
70.56375,-20.42163888888889,19.0,SN1990aj,1990/12/17
234.09999999999997,22.501666666666665,62.6,SN1990L,1990/05/17
212.87241666666665,-5.043583333333333,38.0,SN1990M,1990/06/15
190.73616666666663,13.2565,19.7,SN1990N,1990/07/10
318.0870833333333,12.610277777777778,72.58,SN1990R,1990/06/25
346.2289999999999,12.305583333333335,31.0,SN1990U,1990/07/26
191.29099999999997,-6.3173055555555555,49.1,SN1991aa,1991/05/06
261.75833333333327,29.475,99.0,SN1991af,1991/05/18
300.035875,-55.36752777777778,54.0,SN1991ag,1991/06/05
209.2025,37.79208333333333,45.269,SN1991ak,1991/07/14
342.1708333333333,8.17,60.36,SN1991as,1991/08/18
210.85166666666666,-6.0725,35.0,SN1991B,1991/01/10
50.19025,-1.046388888888889,96.025,SN1991bc,1991/10/11
60.70691666666666,1.9740000000000002,46.0,SN1991bd,1991/10/11
186.26541666666662,12.871,17.5,SN1991bg,1991/12/13
200.9332083333333,31.56413888888889,71.7,SN1991bi,1991/12/12
55.376958333333334,-4.66375,68.0,SN1991bj,1991/11/30
164.00920833333333,57.11336111111111,29.0,SN1991F,1991/02/09
140.12654166666667,-16.500527777777776,76.2,SN1991K,1991/02/19
239.64508333333333,17.45797222222222,38.0,SN1991M,1991/03/19
188.54249999999996,2.6656666666666666,12.6,SN1991T,1991/04/28
195.25583333333333,-14.507777777777777,45.0,SN1991X,1991/05/10
54.11420833333333,-34.95872222222223,17.5,SN1992A,1992/01/19
201.04104166666667,-23.878805555555555,96.0,SN1992ag,1992/07/03
264.43541666666664,12.905833333333334,98.08,SN1992ah,1992/06/26
311.4853749999999,-51.394416666666665,55.0,SN1992al,1992/08/03
46.316874999999996,-39.55961111111111,77.0,SN1992bc,1992/10/17
36.979708333333335,20.32922222222222,62.6,SN1992bf,1992/10/01
20.493499999999997,-34.21208333333334,71.0,SN1992bo,1992/12/29
159.077375,37.32116666666667,27.0,SN1992G,1992/02/22
197.51749999999996,-46.44175,42.0,SN1992K,1992/02/22
190.70387499999995,10.360055555555554,79.0,SN1992P,1992/04/07
45.506249999999994,42.581388888888895,62.305,SN1993ab,1993/09/23
22.453791666666664,-1.9769722222222224,70.0,SN1993ae,1993/11/01
